"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Healthcare","Medical Laboratories & Research","USA",16933.05,18.64,49.95,-0.36%,2430595
2,"AA","Alcoa, Inc.","Basic Materials","Aluminum","USA",8662.80,81.00,8.10,2.02%,66269316
3,"AAPL","Apple Inc.","Consumer Goods","Electronic Equipment","USA",446988.51,12.15,486.59,1.17%,10750263
4,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - Major","USA",71203.09,13.79,44.81,0.65%,5110631
5,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",14153.49,24.22,61.27,0.13%,1638056
6,"ABT","Abbott Laboratories","Healthcare","Medical Appliances & Equipment","USA",51762.41,62.58,33.17,0.48%,8162960
7,"ACE","ACE Limited","Financial","Property & Casualty Insurance","Switzerland",31038.69,9.63,91.01,-0.16%,1000876
8,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",45145.06,14.43,70.28,-1.14%,5005164
9,"ACT","Actavis plc","Healthcare","Drugs - Generic","USA",18151.06,,137.30,-1.79%,2133100
10,"ADBE","Adobe Systems Inc.","Technology","Application Software","USA",24928.54,56.19,49.45,-0.26%,4346108
11,"ADI","Analog Devices Inc.","Technology","Printed Circuit Boards","USA",14123.56,21.86,45.69,-0.02%,1726275
12,"ADM","Archer Daniels Midland Company","Consumer Goods","Farm Products","USA",24014.13,20.30,36.33,0.39%,3440575
13,"ADP","Automatic Data Processing, Inc.","Technology","Business Software & Services","USA",33910.10,25.10,70.28,0.06%,1413571
14,"ADSK","Autodesk, Inc.","Technology","Technical & System Software","USA",8915.08,41.20,39.96,-1.06%,5027963
15,"ADT","The ADT Corporation","Services","Security & Protection Services","USA",8534.61,22.10,39.33,0.85%,2196129
16,"AEE","Ameren Corporation","Utilities","Diversified Utilities","USA",8418.22,,34.70,0.90%,1676909
17,"AEP","American Electric Power Co., Inc.","Utilities","Electric Utilities","USA",21241.28,17.54,43.68,0.44%,3544102
18,"AES","The AES Corporation","Utilities","Electric Utilities","USA",9875.34,,13.22,-0.60%,4135661
19,"AET","Aetna Inc.","Healthcare","Health Care Plans","USA",22746.93,12.75,63.86,-0.65%,2413552
20,"AFL","AFLAC Inc.","Financial","Accident & Health Insurance","USA",28973.47,8.65,62.28,0.21%,1445094
21,"AGN","Allergan Inc.","Healthcare","Drug Manufacturers - Other","USA",26204.88,15.70,88.53,-0.48%,2997752
22,"AIG","American International Group, Inc.","Financial","Property & Casualty Insurance","USA",70473.96,10.73,47.73,0.06%,10523209
23,"AIV","Apartment Investment & Management Co.","Financial","REIT - Residential","USA",4007.95,,27.58,0.77%,875996
24,"AIZ","Assurant Inc.","Financial","Accident & Health Insurance","USA",4323.40,11.18,55.78,1.16%,670354
25,"AKAM","Akamai Technologies, Inc.","Technology","Internet Information Providers","USA",8770.03,35.72,49.30,-1.40%,2212490
26,"ALL","The Allstate Corporation","Financial","Property & Casualty Insurance","USA",23855.20,10.88,50.94,0.89%,3532518
27,"ALTR","Altera Corp.","Technology","Semiconductor - Specialized","USA",11469.69,23.09,35.79,-0.83%,2003922
28,"ALXN","Alexion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",20594.65,60.27,105.48,-2.76%,1480403
29,"AMAT","Applied Materials Inc.","Technology","Semiconductor Equipment & Materials","USA",20860.02,,17.34,-0.97%,13940972
30,"AME","Ametek Inc.","Technology","Diversified Electronics","USA",10650.64,21.96,43.71,-0.50%,1880605
31,"AMGN","Amgen Inc.","Healthcare","Biotechnology","USA",79922.56,17.86,106.28,-1.37%,5439177
32,"AMP","Ameriprise Financial Inc.","Financial","Asset Management","USA",18537.30,15.82,90.47,0.69%,765680
33,"AMT","American Tower Corporation","Financial","REIT - Diversified","USA",28319.98,44.76,71.62,-0.38%,2206234
34,"AMZN","Amazon.com Inc.","Services","Catalog & Mail Order Houses","USA",135992.89,,298.23,-1.65%,3246949
35,"AN","AutoNation Inc.","Services","Auto Dealerships","USA",5925.53,17.81,48.81,0.56%,2251574
36,"ANF","Abercrombie & Fitch Co.","Services","Apparel Stores","USA",2620.15,12.36,33.86,2.02%,3131115
37,"AON","Aon Corporation","Financial","Insurance Brokers","USA",22351.13,22.84,71.25,-0.18%,1418027
38,"APA","Apache Corp.","Basic Materials","Independent Oil & Gas","USA",33680.64,13.64,85.92,-0.21%,2162275
39,"APC","Anadarko Petroleum Corporation","Basic Materials","Independent Oil & Gas","USA",46239.22,27.25,92.11,-0.01%,1799861
